Dataset name,Dataset description,Granularity,Source,Purpose of the data ,Data controller,DPIA inclusion,Data Processor Organisations,Collecting and Sharing Governance,New?
111 online screening data,"Aggregated view of how and where the NHS 111 online service is being used, broken down by clinical commissioning group (CCG) and disposition code to allow for geographical and outcomes analysis.",,NHS Digital,,,,,,New
111 telephony service activity records,Aggregated view of calls to the NHS 111 service broken down by clinical commissioning group (CCG) and disposition code to allow for geographical and outcomes analysis.,,NHS Digital,,,,,,New
999 telephony activity records,Gives aggregate view of calls to the 999 service broken down by clinical commissioning group (CCG)  and disposition code to allow for geographical and outcomes analysis.,,NHS Digital,,,,,,New
Accident and Emergency (A&E) sitrep,"Daily situation report submitted by all providers with a type 1 A&E department (consultant led 24 hour service with full resuscitation facilities and designated accommodation for the reception of accident and emergency patients), collecting information such as number of A&E attendances in previous 24 hours, long stay patients and bed occupancy.",,NHS Improvement,,,,,,New
Aggregated 111 call,"Number of daily triaged calls per clinical commissioning group (CCG) and among triaged calls number of A&E, ambulance and primary care calls. Includes disposal of call. Contains information on all 111 calls, not just those specifically related to Covid-19.
 
",,NHS Digital,,,,,,New
Care home beds,Capacity information for bed availability in care homes - received via LogicApp. Partial coverage of England care homes.,,Health & Care Providers,,,,,,New
Covid-19 critical care data,From DOS (Directory of Services). More detail provided in the adult critical care bed state definitions document.,,Directory of services (DoS),,,,,,New
Covid-19 independent sector provider (ISP) Sitrep,"Daily situation report to collect information on the current burden on hospitals, including: bed capacity and availability for Covid-19 and non-Covid-19 patients, oxygen, non-invasive ventilation and ventilator demand and capacity, and staff absences. Includes snapshot data for number of patients in beds at 08:00 each day, Covid-19 admissions and discharges for the previous 24 hours and staff absences. Replication of the Covid-19 sitrep for independent service providers.",,NHS Digital,,,,,,New
Covid-19 related death information,Patients who have died in hospitals in England who had tested positive for Covid-19 at time of death. Includes all deaths reported up to 5pm on the previous day. ,,Health & Care Providers,,,,,,New
Covid-19 sitrep,"Daily situation report to collect information on the current burden on hospitals, including: bed capacity and availability for Covid-19 and non-Covid-19 patients, oxygen, non-invasive ventilation and ventilator demand and capacity, and staff absences. Includes snapshot data for number of patients in beds at 08:00 each day, Covid-19 admissions and discharges for the previous 24 hours and staff absences.",,NHS Digital,,,,,,New
Covid-19 Hospitalisation in England Surveillance System (CHESS),"Contains epidemiological data (demographics, risk factors and clinical information on severity and outcome) on Covid-19 infection in persons requiring hospitalisation and intensive care unit (ICU)/high dependency unit (HDU).",,Public Health England,,,,,,New
Electronic Staff Record (ESR) sickness,"All absences of NHS staff specifically marked as related to Covid-19, including sickness, self-isolation and special leave (e.g. carer’s leave). Contains details of where the person works, their staff group and duration of absence.

",,NHS ESR,,,,,,New
