Dataset name,Dataset description,Granularity,Source,Purpose of the data ,Data controller,DPIA inclusion,Data Processor Organisations,Collecting and Sharing Governance
Covid-19 Hospitalisation in England Surveillance System (CHESS) - record level,"Demographics, 25 pages of information ",Record level,Public Health England,This will just say why the data is useful,Public Health England,Yes,"Arden & GEM (NHSE), Palantir",COPI Regulations
COVID related death information,Death notifications,Record Level,Health & Care Providers,"For example, this will be in a dashboard to support decision making",NHS England,No,"Arden & GEM (NHSE), Palantir, NHS Improvement",COPI Regulations
"International data daily dump of cases (infected, recovered, fatalities)",ECDC data - number of cases and deaths by country,Aggregate,?,,?,N/A,Palantir,N/A
Covid sitrep,"31 questions, 1330 refresh",Aggregate,SDCS - NHSD,,NHS England,Yes,"Arden & GEM (NHSE), Palantir, NHS Improvement",Aggregate Collection
PHE Lab Test Data - Record Level,Positive test results from PHE SGSS (Second Generation Surveillance System). Anonymised,Record level,Public Health England,,Public Health England,Yes,"Arden & GEM (NHSE), Palantir, NHS Improvement",Aggregate collection
PHE Lab Test Data - Aggregate,Positive test results from PHE SGSS (Second Generation Surveillance System). Anonymised,Aggregate,Public Health England,,Public Health England,Yes,"Arden & GEM (NHSE), Palantir, NHS Improvement",COPI Regulations
A&E sitrep,Number of beds open and occupied. Critical care open and occupied A&E attendances etc.,Aggregate,NHSI,,NHS Improvement,Yes,"Arden & GEM (NHSE), Palantir, NHS Improvement",Aggregate collection
Master Patient Index (MPI) - frailty flag,"De-identified demographics with SOA, LSOA and flags such as frailty which provide healthcare markers. Lists of all patients, demographics, geographics. Contains large amounts of PHI, including post code. Flags for frailty and care home. Fed in by NHAIS (National Health Application and Infrastructure Services)",Record level,NHS Digital,,NHS England,Yes,"Arden & GEM (NHSE), Palantir",Data controller
Care home beds,"Capacity information for beds availabiloty in care homes - received via LogicApp. Beds by type, staff total.",Aggregate,Health & Care Providers,,NHS England,No,Arden & GEM (NHSE),Aggregate collection
Aggregated 111 call (NHS Improvement),"Number of daily triaged calls per CCG & among triaged calls number of A&E, ambulance and primary care calls. 15 minutes. Disposal of call. Not specifically COVID.",Aggregate,NHS Digital SDCS-SeFT,,NHS Improvement,Yes,"Arden & GEM (NHSE), Palantir",Aggregate collection
SUS+ ECDS,Contains all record level data items Understand how and why people attend Accident and Emergency (A&E) Departments with clinical informaiton. Contains 108 data items better understand how and why people attend Accident and Emergency (A&E) Departments. Continuous daily feed - 11am land for 3 days previous,Record level,NHS Digital,,NHS England,Yes,"Arden & GEM (NHSE), Palantir",Existing DARS and joint data controller with NHS Digital
Record level 111 data (NHSI),"Information regarding each 111 call (connect timestamp, triage timestamp, clinical advisor transfer timestamp, is ambulance called, symptom group, disposition, etc).  Monthly with one month lag - feed from providers so not possible to get more recent cuts",Record level,NCDR,,NHS England,Yes,"Arden & GEM (NHSE), Palantir",Existing governance
111 telephony service activity records,Daily (from 10 March),Aggregate,NHS Digital,,NHS England,No,"Arden & GEM (NHSE), Palantir",
999 telephony activity records,Daily  (from 10 March),Record level,NHS Digital,,NHS England,,Arden & GEM (NHSE),
Segmentation,Record level registry for people with frailty and diabetes. 8 core groups plus 30 sub-segments,Record level,NHS England,,NHS England,Yes,"Arden & GEM (NHSE), Palantir",Existing Governance
ESR sickness,"A cut from ESR showing all active absences on the current day across all trusts, i.e. does not have absence end date so cannot see absence length or who is coming back to work etc.",Record level,ESR,Understand staff sickness levels and impact on Covid19 response. ,NHS Improvement,No,"Arden & GEM (NHSE), Palantir",TBD
Ventilator Orders,"From each supplier, country, price how many delivered each week",,,,NHS England,,"Arden & GEM (NHSE), Palantir",
Oxygen gas supply and capacity,"By trust and hospital - what is the oxygen supply, delivery capacity, gas pipeline system and ventilation system capacity",Aggregate,,,NHS England,,"Arden & GEM (NHSE), Palantir",
SUS+ Outpatient (OPA),"Attendances into outpatient clinics with data held at record level. Mainly forms part of elective clinics. Part of the acute dataset. Can be daily, but not currently pulled daily as it is too large
",Record level,NHS Digital,,NHS England,Yes,Arden & GEM (NHSE),Existing DARS and joint data controller with NHS Digital
UKHF,"UK Health Facts database - aggregated 1k of datasets.
Focus on cancelled operations. Incomplete pathways",Aggregate,UKHF/D,,NHS England,,"Arden & GEM (NHSE), Palantir",Aggregate collection
ESR workforce,"Electronic staff record.
Number of hospital staff employed by trust, including specialty.
Count of ambulance staff. 
Use as a benchmarking piece. 
Staff by staff group, working in emergency care and intensive care. Can also be split by training (ventilator training?)",Aggregate,NHS ESR (BSA?),,NHS Improvement,Yes,"Arden & GEM (NHSE), Palantir",Existing Governance
SUS+ Inpatient (Admitted Patient Care Episodes - APCE - and Admitted Patient Care Spells - APCS),SUS,Record level,NHS Digital,,NHS England,Yes,"Arden & GEM (NHSE), Palantir",Existing DARS and joint data controller with NHS Digital
ICNARC,"Intensive care national audit and research centre. What support is being given to a patient and clinical information about that patient. Reporting completed; 
(i) after COVID case enters a unit
(ii) after 24 hours
(iii) after patient leaves critical care
(iv) after patient discharge",Record level,ICNARC network,,NHS England,No,"Arden & GEM (NHSE), Palantir",COPI Regulations
111 online screening data,No NHS number or linkable information,Record level,NHS Digital 111,,NHS England,No,"Arden & GEM (NHSE), Palantir",No identifiers and COPI regs would cover
